"ENSEMBL","GENETYPE","SYMBOL","ENTREZID"
"ENSG00000232292","pseudo","ALDH7A1P2","542"
"ENSG00000175054","protein-coding","ATR","545"
"ENSG00000085224","protein-coding","ATRX","546"
"ENSG00000130294","protein-coding","KIF1A","547"
"ENSG00000148090","protein-coding","AUH","549"
"ENSG00000115307","protein-coding","AUP1","550"
"ENSG00000101200","protein-coding","AVP","551"
"ENSG00000166148","protein-coding","AVPR1A","552"
"ENSG00000198049","protein-coding","AVPR1B","553"
"ENSG00000126895","protein-coding","AVPR2","554"
"ENSG00000167601","protein-coding","AXL","558"
"ENSG00000160862","protein-coding","AZGP1","563"
"ENSG00000172232","protein-coding","AZU1","566"
"ENSG00000278624","protein-coding","AZU1","566"
"ENSG00000166710","protein-coding","B2M","567"
"ENSG00000273686","protein-coding","B2M","567"
"ENSG00000136881","protein-coding","BAAT","570"
"ENSG00000276559","protein-coding","BAAT","570"
"ENSG00000156273","protein-coding","BACH1","571"
"ENSG00000156273","ncRNA","GRIK1-AS2","100379661"
"ENSG00000002330","protein-coding","BAD","572"
"ENSG00000107262","protein-coding","BAG1","573"
"ENSG00000181790","protein-coding","ADGRB1","575"
"ENSG00000121753","protein-coding","ADGRB2","576"
"ENSG00000135298","protein-coding","ADGRB3","577"
"ENSG00000030110","protein-coding","BAK1","578"
"ENSG00000109705","protein-coding","NKX3-2","579"
"ENSG00000138376","protein-coding","BARD1","580"
"ENSG00000087088","protein-coding","BAX","581"
"ENSG00000174483","protein-coding","BBS1","582"
"ENSG00000125124","protein-coding","BBS2","583"
"ENSG00000140463","protein-coding","BBS4","585"
"ENSG00000060982","protein-coding","BCAT1","586"
"ENSG00000105552","protein-coding","BCAT2","587"
"ENSG00000114200","protein-coding","BCHE","590"
"ENSG00000248098","protein-coding","BCKDHA","593"
"ENSG00000083123","protein-coding","BCKDHB","594"
"ENSG00000110092","protein-coding","CCND1","595"
"ENSG00000171791","protein-coding","BCL2","596"
"ENSG00000140379","protein-coding","BCL2A1","597"
"ENSG00000171552","protein-coding","BCL2L1","598"
"ENSG00000129473","protein-coding","BCL2L2","599"
"ENSG00000069399","protein-coding","BCL3","602"
"ENSG00000113916","protein-coding","BCL6","604"
"ENSG00000110987","protein-coding","BCL7A","605"
"ENSG00000116128","protein-coding","BCL9","607"
"ENSG00000048462","protein-coding","TNFRSF17","608"
"ENSG00000099822","protein-coding","HCN2","610"
"ENSG00000128617","protein-coding","OPN1SW","611"
"ENSG00000186716","protein-coding","BCR","613"
"ENSG00000215456","pseudo","BCRP4","616"
"ENSG00000074582","protein-coding","BCS1L","617"
"ENSG00000236824","ncRNA","BCYRN1","618"
"ENSG00000161267","protein-coding","BDH1","622"
"ENSG00000275544","protein-coding","BDH1","622"
"ENSG00000100739","protein-coding","BDKRB1","623"
"ENSG00000168398","protein-coding","BDKRB2","624"
"ENSG00000176697","protein-coding","BDNF","627"
"ENSG00000243649","protein-coding","CFB","629"
"ENSG00000204359","protein-coding","CFB","629"
"ENSG00000242335","protein-coding","CFB","629"
"ENSG00000239754","protein-coding","CFB","629"
"ENSG00000241534","protein-coding","CFB","629"
"ENSG00000241253","protein-coding","CFB","629"
"ENSG00000243570","protein-coding","CFB","629"
"ENSG00000125864","protein-coding","BFSP1","631"
"ENSG00000242252","protein-coding","BGLAP","632"
"ENSG00000182492","protein-coding","BGN","633"
"ENSG00000079385","protein-coding","CEACAM1","634"
"ENSG00000145692","protein-coding","BHMT","635"
"ENSG00000151746","protein-coding","BICD1","636"
"ENSG00000015475","protein-coding","BID","637"
"ENSG00000100290","protein-coding","BIK","638"
"ENSG00000057657","protein-coding","PRDM1","639"
"ENSG00000136573","protein-coding","BLK","640"
"ENSG00000285369","protein-coding","BLK","640"
"ENSG00000197299","protein-coding","BLM","641"
"ENSG00000108578","protein-coding","BLMH","642"
"ENSG00000160683","protein-coding","CXCR5","643"
"ENSG00000106605","protein-coding","BLVRA","644"
"ENSG00000090013","protein-coding","BLVRB","645"
"ENSG00000169594","protein-coding","BNC1","646"
"ENSG00000168283","protein-coding","BMI1","648"
"ENSG00000168487","protein-coding","BMP1","649"
"ENSG00000125845","protein-coding","BMP2","650"
"ENSG00000152785","protein-coding","BMP3","651"
"ENSG00000125378","protein-coding","BMP4","652"
"ENSG00000112175","protein-coding","BMP5","653"
"ENSG00000153162","protein-coding","BMP6","654"
"ENSG00000101144","protein-coding","BMP7","655"
"ENSG00000116985","protein-coding","BMP8B","656"
"ENSG00000107779","protein-coding","BMPR1A","657"
"ENSG00000138696","protein-coding","BMPR1B","658"
"ENSG00000204217","protein-coding","BMPR2","659"
"ENSG00000102010","protein-coding","BMX","660"
"ENSG00000168495","protein-coding","POLR3D","661"
"ENSG00000113734","protein-coding","BNIP1","662"
"ENSG00000140299","protein-coding","BNIP2","663"
"ENSG00000176171","protein-coding","BNIP3","664"
"ENSG00000104765","protein-coding","BNIP3L","665"
"ENSG00000176720","protein-coding","BOK","666"
"ENSG00000151914","protein-coding","DST","667"
"ENSG00000183770","protein-coding","FOXL2","668"
"ENSG00000172331","protein-coding","BPGM","669"
"ENSG00000137274","protein-coding","BPHL","670"
"ENSG00000101425","protein-coding","BPI","671"
"ENSG00000012048","protein-coding","BRCA1","672"
"ENSG00000157764","protein-coding","BRAF","673"
"ENSG00000139618","protein-coding","BRCA2","675"
"ENSG00000137948","protein-coding","BRDT","676"
"ENSG00000185650","protein-coding","ZFP36L1","677"
"ENSG00000152518","protein-coding","ZFP36L2","678"
"ENSG00000102239","protein-coding","BRS3","680"
"ENSG00000172270","protein-coding","BSG","682"
"ENSG00000109743","protein-coding","BST1","683"
"ENSG00000130303","protein-coding","BST2","684"
"ENSG00000174808","protein-coding","BTC","685"
